Country,Year,CO2,GDP,PopGrowth,Renewable,Forest_Area,Electric_Power,Mobile_Cell_Subs,Domestic_Credit
BGD,2000,0.216415811,1331.548512,1.95238739,4.749223258,19203.281,104.6077431,0.218552945,21.77938901
BGD,2001,0.250764528,1403.126294,1.886287145,5.709521619,19171.295,115.1445112,0.399727257,24.17959271
BGD,2002,0.253743015,1453.262159,1.820070221,4.012858291,19139.309,122.9863783,0.81145496,26.20812497
BGD,2003,0.260732325,1523.797422,1.731266118,3.799715909,19107.323,129.3923331,1.012674358,26.03862768
BGD,2004,0.275079009,1620.425018,1.615198017,3.034477171,19075.337,165.3083424,2.030536864,27.91340329
BGD,2005,0.284106739,1753.874608,1.484744774,2.832079253,19043.351,176.0773264,6.473166692,29.3438305
BGD,2006,0.309163115,1901.716525,1.347130256,2.536317768,19011.365,196.9398962,13.57566319,31.1657017
BGD,2007,0.312205696,2065.154846,1.226617775,2.415739397,18979.379,206.1048823,24.0921838,32.04283305
BGD,2008,0.343895204,2206.510325,1.145653022,2.776316559,18947.393,207.5269247,30.93465762,34.04219175
BGD,2009,0.373296973,2309.563606,1.116805726,1.121661242,18915.406,226.0479417,35.19574195,36.19103757
BGD,2010,0.408083791,2439.069677,1.124803493,1.787202746,18883.42,247.2633825,46.02655537,40.96132263
BGD,2011,0.423609216,2620.822484,1.144262127,1.974950739,18873.536,265.6394213,56.51967967,42.47024116
BGD,2012,0.448127943,2937.588452,1.15494813,1.600016474,18863.652,283.4621656,64.35516997,43.00066937
BGD,2013,0.454664317,3143.518357,1.156713453,1.946536145,18853.768,301.961168,76.29745621,41.79475481
BGD,2014,0.477335997,3367.995525,1.142594657,1.319724237,18843.884,320.2041582,82.10473758,43.73612387
CHN,2000,2.696862433,2920.560791,0.787956593,16.63949819,1770005.5,992.9433847,6.606481691,111.1229709
CHN,2001,2.742120813,3210.009396,0.726380638,18.95851917,1793615.33,1076.549121,11.14746235,110.0445907
CHN,2002,3.007083197,3534.84913,0.669999568,17.6186279,1817225.16,1194.856295,15.75742107,117.4986986
CHN,2003,3.524074093,3937.312875,0.622860936,15.03704033,1840834.99,1379.484632,20.52400801,125.6714326
CHN,2004,4.037990651,4425.874191,0.593932815,16.22326642,1864444.82,1585.838782,25.3063175,118.636103
CHN,2005,4.523178064,5053.945798,0.58812499,16.17502498,1888054.65,1782.312153,29.56214176,111.8429248
CHN,2006,4.980314197,5836.573437,0.558374367,15.59278342,1911664.48,2039.01466,34.44822335,109.1583872
CHN,2007,5.082123622,6810.6039,0.522271866,15.26334714,1935274.31,2325.926769,40.66184883,105.7875085
CHN,2008,5.701915025,7574.224455,0.512386932,17.73744406,1958884.14,2446.369055,47.37436885,102.0035662
CHN,2009,5.677170257,8307.849519,0.497381401,17.8637982,1982493.97,2612.45662,54.89500349,124.4080089
CHN,2010,6.560520007,9253.765188,0.482959689,18.62282605,2006103.8,2943.589954,62.75543093,126.5794942
CHN,2011,7.241515419,10299.87069,0.479150454,16.76177043,2025471.54,3298.003913,71.6494509,123.0959272
CHN,2012,7.424750916,11197.59694,0.487231118,19.96624894,2044839.28,3474.988062,80.34603793,128.922639
CHN,2013,7.557211045,11923.75262,0.493709634,20.29622738,2064207.02,3773.405384,88.30574902,134.3192514
CHN,2014,7.543907641,12549.77183,0.506311592,22.60915378,2083574.76,3927.0445,91.89962887,140.236887
IND,2000,0.976601686,2095.646961,1.768125412,13.59094803,675910,393.6462474,0.338555535,28.33955116
IND,2001,0.968514319,2206.448138,1.728767638,13.20704353,677815,393.8102014,0.608372045,28.61941543
IND,2002,0.964275366,2287.629973,1.689562681,12.05516116,679720,410.6447832,1.189041948,32.30648907
IND,2003,0.989271008,2472.10369,1.651490906,13.46942476,681625,430.4831641,3.030976024,31.62626562
IND,2004,1.021862866,2695.893642,1.61530759,14.4825005,683530,451.6115501,4.622779363,36.19180385
IND,2005,1.06531244,2953.10919,1.57971029,16.61901808,685435,468.0257528,7.854585245,40.06798048
IND,2006,1.118603899,3237.294733,1.545696178,17.54042472,687340,509.2140548,14.24727183,43.62775243
IND,2007,1.189651807,3525.314378,1.50922207,17.86408569,689245,541.7383947,19.74460191,45.62776475
IND,2008,1.306253903,3650.942859,1.46489008,16.50983374,691150,561.24758,28.89137464,49.55936669
